City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,quellon,-43.1167,-73.6167,12.57,57,100,7.19,CL,1730744793
128,bikenibeu village,1.3673,173.1241,27.98,78,20,3.09,KI,1730744795
129,la ronge,55.1001,-105.2842,3.14,75,20,2.57,CA,1730744796
130,jaguaruna,-28.615,-49.0256,21.69,92,93,4.27,BR,1730744797
131,san luis de la loma,17.2706,-100.8939,29.11,68,6,2.37,MX,1730744798
132,cassia,-20.5831,-46.9219,20.7,92,100,1.45,BR,1730744799
133,touros,-5.1989,-35.4608,27.88,63,44,7.23,BR,1730744800
134,bechar,31.6167,-2.2167,21.18,35,99,1.54,DZ,1730744801
135,marka,1.7159,44.7717,25.83,86,36,3.5,SO,1730744802
136,mount gambier,-37.8333,140.7667,5.75,97,6,1.74,AU,1730744803
137,saint-philippe,-21.3585,55.7679,23.41,85,47,3.59,RE,1730744804
138,roma,43.2128,-75.4557,12.05,44,100,5.68,US,1730744759
139,xiulin,29.7167,112.4,17.92,36,96,5.68,CN,1730744807
140,whitehorse,60.7161,-135.0538,-6.57,85,75,0.0,CA,1730744772
141,stanley,54.868,-1.6985,9.01,90,75,1.03,GB,1730744809
142,zaozersk,69.4005,32.4476,-1.17,77,83,7.02,RU,1730744810
143,ancud,-41.8697,-73.8203,11.55,83,100,9.42,CL,1730744811
144,cabedelo,-6.9811,-34.8339,29.37,59,17,6.71,BR,1730744812
145,tsetserleg,47.475,101.4542,-5.17,45,41,2.12,MN,1730744813
146,shahr sultan,29.5765,71.0212,27.16,21,0,1.83,PK,1730744814
147,wynyard,-41.0,145.7167,7.33,94,70,2.2,AU,1730744815
148,ribeira grande,38.5167,-28.7,21.54,88,40,9.83,PT,1730744816
149,chonchi,-42.6128,-73.8092,12.84,62,100,5.6,CL,1730744817
150,coquimbo,-29.9533,-71.3436,20.85,50,0,7.2,CL,1730744820
151,udachny,66.4167,112.4,-22.78,100,83,3.93,RU,1730744821
152,douz,33.4663,9.0203,24.39,36,19,2.02,TN,1730744822
153,hamilton,39.1834,-84.5333,24.22,60,0,6.17,US,1730744823
154,edinboro,41.8742,-80.1317,20.04,56,100,7.81,US,1730744754
155,totness,5.8833,-56.3167,31.27,59,95,5.72,SR,1730744825
156,hithadhoo,-0.6,73.0833,28.2,68,18,5.02,MV,1730744826
157,nahiyat ghammas,31.7431,44.6196,23.25,46,0,4.9,IQ,1730744828
158,fort mcmurray,56.7268,-111.381,-3.23,93,100,1.54,CA,1730744829
159,francistown,-21.17,27.5079,29.6,10,4,6.38,BW,1730744830
160,saint croix,17.7397,-64.7388,31.25,73,40,3.09,VI,1730744831
161,labasa,-16.4167,179.3833,23.0,90,56,2.3,FJ,1730744832
162,nemuro,43.3236,145.575,8.74,71,57,9.51,JP,1730744833
163,sidi qacem,34.2215,-5.7078,23.6,49,51,1.52,MA,1730744835
164,vorgashor,67.5833,63.95,-4.49,93,99,8.28,RU,1730744836
165,basey,11.2817,125.0683,23.75,95,88,1.41,PH,1730744837
166,meadow lake,34.8014,-106.5436,4.83,91,100,3.51,US,1730744838
167,tiksi,71.6872,128.8694,-26.64,99,79,2.06,RU,1730744840
168,iqaluit,63.7506,-68.5145,-5.15,74,100,2.06,CA,1730744841
169,chivacoa,10.1603,-68.895,27.01,86,94,2.81,VE,1730744842
170,vieste,41.8825,16.175,15.68,76,6,4.97,IT,1730744843
171,xam nua,20.4197,104.0439,15.15,95,87,0.78,LA,1730744844
172,salalah,17.0151,54.0924,28.05,74,20,1.03,OM,1730744845
173,kvissleby,62.2936,17.375,0.91,79,100,4.75,SE,1730744846
174,pasuruan,-7.6453,112.9075,25.71,76,58,1.86,ID,1730744847
175,dongargarh,21.2,80.7333,20.55,59,0,1.71,IN,1730744848
176,manokwari,-0.8667,134.0833,25.96,74,78,1.62,ID,1730744849
177,hobyo,5.3505,48.5268,27.09,80,59,5.33,SO,1730744852
178,konya,38.1667,32.5,5.71,59,18,1.56,TR,1730744853
179,tahe,52.3333,124.7333,-17.5,97,40,1.73,CN,1730744854
180,tchollire,8.4022,14.1698,25.56,40,67,1.14,CM,1730744855
181,tolanaro,-25.0319,46.9987,25.04,83,40,9.26,MG,1730744856
182,buka,40.8108,69.1986,17.09,47,100,2.93,UZ,1730744857
183,podborany,50.2294,13.4119,5.5,87,7,0.71,CZ,1730744858
184,atafu village,-8.5421,-172.5159,28.14,76,100,9.75,TK,1730744859
185,margaret river,-33.95,115.0667,15.92,64,100,6.96,AU,1730744860
186,badagry,6.4167,2.8833,27.16,78,28,2.42,NG,1730744861
187,uturoa,-16.7333,-151.4333,26.09,81,100,5.38,PF,1730744862
188,lazaro cardenas,17.9583,-102.2,29.65,62,19,2.17,MX,1730744864
189,duminichi,53.9345,35.1099,-2.77,85,96,5.13,RU,1730744865
